T:	[18:55:54:372829]	*IDN?	R:	[18:55:54:513989]	ROBOT_PREMO, V1.0
T:	[19:13:00:219524]	STATE?	R:	[19:13:00:219674]	4
T:	[19:13:00:524898]	STATE?	R:	[19:13:00:530662]	4
T:	[19:13:00:838366]	STATE?	R:	[19:13:00:838580]	6
T:	[19:13:01:152940]	STATE?	R:	[19:13:01:173273]	6
T:	[19:13:01:457102]	STATE?	R:	[19:13:01:477505]	6
T:	[19:13:01:769065]	STATE?	R:	[19:13:01:779688]	6
T:	[19:13:01:796014]	MoveFromLCRToNoGood	R:	[19:13:01:938546]	ACK
T:	[19:13:02:240946]	STATE?	R:	[19:13:02:251332]	6
T:	[19:13:02:548703]	STATE?	R:	[19:13:02:548853]	6
T:	[19:13:02:851038]	STATE?	R:	[19:13:02:851189]	6
T:	[19:13:03:154459]	STATE?	R:	[19:13:03:159816]	6
T:	[19:13:03:464222]	STATE?	R:	[19:13:03:464472]	6
T:	[19:13:03:768700]	STATE?	R:	[19:13:03:768855]	6
T:	[19:13:04:070028]	STATE?	R:	[19:13:04:070203]	6
T:	[19:13:04:376097]	STATE?	R:	[19:13:04:376325]	6
T:	[19:13:04:680481]	STATE?	R:	[19:13:04:680864]	6
T:	[19:13:04:982523]	STATE?	R:	[19:13:04:982755]	6
T:	[19:13:05:288434]	STATE?	R:	[19:13:05:303945]	6
T:	[19:13:05:594771]	STATE?	R:	[19:13:05:595040]	6
T:	[19:13:05:901076]	STATE?	R:	[19:13:05:901299]	6
T:	[19:13:06:202944]	STATE?	R:	[19:13:06:209139]	6
T:	[19:13:06:508182]	STATE?	R:	[19:13:06:508321]	6
